labels,text,emotion,prob_emotion,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.007934520719572902, 0.004447943530976772, 0.014793697278946638, 0.9815732836723328, 0.006016349536366761, 0.8714211881160736]",0.9815732836723328
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",surprise,"[0.7725127637386322, 0.47075068950653076, 0.5085619986057281, 0.5204920321702957, 0.4827631711959839, 0.8632849454879761]",0.8632849454879761
joy,the moment when you get another follower and you cheer. ,joy,"[0.0004971087182639167, 0.0010961010411847383, 0.0006305581773631275, 0.9964241683483124, 0.0009342635457869619, 0.8137931525707245]",0.9964241683483124
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.021015167236328125, 0.009334668749943376, 0.015243771020323038, 0.9347304105758667, 0.011477915570139885, 0.651798278093338]",0.9347304105758667
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,disgust,"[0.9788744747638702, 0.9875973761081696, 0.8609468340873718, 0.053615506971254945, 0.6652446687221527, 0.6328933089971542]",0.9875973761081696
joy,If ur heart hurts all the time for tht person something isn't right where's the ,sadness,"[0.009137098677456379, 0.0761686209589243, 0.028720307163894176, 0.002912217751145363, 0.8616922795772552, 0.8273070454597473]",0.8616922795772552
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",sadness,"[0.9173449873924255, 0.9516362249851227, 0.8842709064483643, 0.01800645049661398, 0.9582206308841705, 0.8158886432647705]",0.9582206308841705
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,joy,"[0.16895779222249985, 0.13502501137554646, 0.734546959400177, 0.935705840587616, 0.425065279006958, 0.8130311369895935]",0.935705840587616
fear,Making art and viewing art are different at their core! ,surprise,"[0.2783215865492821, 0.1041373573243618, 0.1922721490263939, 0.26563142240047455, 0.21218405663967133, 0.8242796063423157]",0.8242796063423157
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",anger,"[0.9739834368228912, 0.9268532395362854, 0.35999777168035507, 0.060007570311427116, 0.6419090628623962, 0.4244809001684189]",0.9739834368228912
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",disgust,"[0.8475385904312134, 0.8743110597133636, 0.2950283885002136, 0.08393499255180359, 0.40950843691825867, 0.5238540470600128]",0.8743110597133636
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",surprise,"[0.9191793501377106, 0.930283933877945, 0.8787217438220978, 0.791436493396759, 0.8649484217166901, 0.9779829680919647]",0.9779829680919647
surprise,People know they can pull you down and they dont give a care ,sadness,"[0.7839865386486053, 0.7981277108192444, 0.7765211760997772, 0.018952743150293827, 0.8638572096824646, 0.5891629755496979]",0.8638572096824646
sadness,My heart and soul  is leaving me and I can't even see here ,sadness,"[0.28525035455822945, 0.5649603307247162, 0.9049629867076874, 0.12895369855687022, 0.9837535321712494, 0.9664143323898315]",0.9837535321712494
joy,chips and curry sauce ,joy,"[0.47028589248657227, 0.25535646080970764, 0.17786497250199318, 0.6978990733623505, 0.14893312007188797, 0.6068167388439178]",0.6978990733623505
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,"[0.9853027760982513, 0.9150474965572357, 0.8896259665489197, 0.5996001958847046, 0.20709790661931038, 0.7984833419322968]",0.9853027760982513
