labels,text,emotion,prob_emotion,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.054233502596616745, 0.010893074562773108, 0.013626857660710812, 0.6971860527992249, 0.9682841897010803, 0.029145766980946064, 0.6718221306800842]",0.9682841897010803
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.5154681950807571, 0.7290284335613251, 0.9472123384475708, 0.8925426006317139, 0.14759624749422073, 0.9098022282123566, 0.5969757437705994]",0.9472123384475708
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,guilt,"[0.8879992067813873, 0.8642335832118988, 0.77328822016716, 0.8944302499294281, 0.2382551021873951, 0.8827836215496063, 0.8403409123420715]",0.8944302499294281
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.7974910736083984, 0.7902559041976929, 0.7242937982082367, 0.9667092263698578, 0.051576233468949795, 0.8896931707859039, 0.8854638040065765]",0.9667092263698578
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,anger,"[0.9496267437934875, 0.9066276252269745, 0.8612712919712067, 0.8106804490089417, 0.29929229617118835, 0.8403901755809784, 0.9142479300498962]",0.9496267437934875
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,anger,"[0.8830506205558777, 0.7679418623447418, 0.12352297082543373, 0.8109631240367889, 0.05637265928089619, 0.5531358271837234, 0.6183139234781265]",0.8830506205558777
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.045562399085611105, 0.5819950327277184, 0.07547647692263126, 0.9846314191818237, 0.011096619069576263, 0.35359320044517517, 0.8832062780857086]",0.9846314191818237
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.6055429875850677, 0.3263635188341141, 0.6744091808795929, 0.8741125762462616, 0.7780686318874359, 0.5721735656261444, 0.48498597741127014]",0.8741125762462616
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.35598595440387726, 0.6910437047481537, 0.8765219748020172, 0.7347843050956726, 0.2282637283205986, 0.9316432774066925, 0.551888644695282]",0.9316432774066925
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.9134957790374756, 0.7587558925151825, 0.9285163283348083, 0.9142067134380341, 0.16883813217282295, 0.7993841469287872, 0.6840950548648834]",0.9285163283348083
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.44500632584095, 0.2823518365621567, 0.12325820326805115, 0.6194703876972198, 0.0530228316783905, 0.3518493175506592, 0.3720931261777878]",0.6194703876972198
disgust,When I found a bristle in the liver paste tube. ,anger,"[0.9741456508636475, 0.9369881451129913, 0.9102701544761658, 0.9199458956718445, 0.40310652554035187, 0.8352559506893158, 0.8795111179351807]",0.9741456508636475
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9704616069793701, 0.8810825347900391, 0.39543911814689636, 0.9093328416347504, 0.12509068474173546, 0.7828282713890076, 0.7670332193374634]",0.9704616069793701
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.8270625472068787, 0.6805709302425385, 0.43631256371736526, 0.951461911201477, 0.05555098783224821, 0.6739476025104523, 0.6896738708019257]",0.951461911201477
joy,When I pass an examination which I did not think I did well. ,joy,"[0.6283265054225922, 0.4551887810230255, 0.4645245373249054, 0.7965148389339447, 0.8882186412811279, 0.3986152112483978, 0.46583959460258484]",0.8882186412811279
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.7266045212745667, 0.5671834796667099, 0.971522718667984, 0.9387324452400208, 0.02944255480542779, 0.8496297001838684, 0.23990458995103836]",0.971522718667984
anger,When one is unjustly accused of something one has not done. ,shame,"[0.8997907936573029, 0.8832471668720245, 0.8595677614212036, 0.861245721578598, 0.3393634930253029, 0.8868798315525055, 0.9227557480335236]",0.9227557480335236
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.9201525449752808, 0.8118214309215546, 0.6291999518871307, 0.5000934302806854, 0.015832634642720222, 0.9310220777988434, 0.5133053511381149]",0.9310220777988434
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",shame,"[0.862896740436554, 0.8923560082912445, 0.7342511117458344, 0.8851432204246521, 0.02821222459897399, 0.8231357038021088, 0.8993372321128845]",0.8993372321128845
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.8689111173152924, 0.9417850077152252, 0.5809382200241089, 0.9781530797481537, 0.01706163608469069, 0.7202032208442688, 0.9491731524467468]",0.9781530797481537
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.8876751363277435, 0.9085523188114166, 0.7442548871040344, 0.9492430686950684, 0.16262207878753543, 0.90887850522995, 0.9181272089481354]",0.9492430686950684
joy,Passing an exam I did not expect to pass. ,joy,"[0.7391559481620789, 0.37213509529829025, 0.6937165260314941, 0.8402965664863586, 0.9566211998462677, 0.2443361058831215, 0.32940390706062317]",0.9566211998462677
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.8769749701023102, 0.7133103907108307, 0.8635106682777405, 0.890834629535675, 0.24744863063097, 0.7710575461387634, 0.79206582903862]",0.890834629535675
guilt,When excuses are necessary and I get out of doing it myself. ,guilt,"[0.6878097951412201, 0.4788021296262741, 0.5294618904590607, 0.7425233125686646, 0.187989741563797, 0.4490008056163788, 0.595474362373352]",0.7425233125686646
joy,When I had my children. ,joy,"[0.5444404184818268, 0.1327240839600563, 0.398379921913147, 0.8740301430225372, 0.9292265176773071, 0.5026833266019821, 0.2922184467315674]",0.9292265176773071
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.7932695150375366, 0.7589564919471741, 0.8077240586280823, 0.877596914768219, 0.7347075045108795, 0.5018221288919449, 0.7365047037601471]",0.877596914768219
anger,When my partner was attacked and lost three teeth. ,fear,"[0.9020873606204987, 0.8923417031764984, 0.9606418609619141, 0.9182769358158112, 0.16434817016124725, 0.9543714225292206, 0.8304663598537445]",0.9606418609619141
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.7668428719043732, 0.7817490696907043, 0.8269838690757751, 0.8835196495056152, 0.07451600953936577, 0.9496560394763947, 0.6814833581447601]",0.9496560394763947
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.9408285617828369, 0.9259754419326782, 0.9605706930160522, 0.9505535960197449, 0.47070907056331635, 0.88538858294487, 0.8845472633838654]",0.9605706930160522
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.04283551871776581, 0.5640656724572182, 0.6191504299640656, 0.989539384841919, 0.01857616938650608, 0.8308275938034058, 0.7690746188163757]",0.989539384841919
