labels,text,expr_s,prob_expr_s,max_prob
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.053472529941548906, 0.022861695770795148, 0.08267412482139964, 0.46621118237574893, 0.9146083394686381, 0.06130484332485745, 0.114935250642399]",0.9146083394686381
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.6410977045694987, 0.7707127630710602, 0.9750798245271047, 0.6877511441707611, 0.0026038719467275464, 0.8680693606535593, 0.43537425249814987]",0.9750798245271047
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,shame,"[0.875627726316452, 0.7416888773441315, 0.7164625227451324, 0.5090580615215003, 0.0011802055523730814, 0.8338721493879954, 0.9473040799299876]",0.947304079929987
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.477298508087794, 0.44633829842011136, 0.5565705448389053, 0.7945790588855743, 0.24907758894066015, 0.7650426626205444, 0.6014286379019419]",0.7945790588855743
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.8344291647275289, 0.9379284282525381, 0.6181332096457481, 0.6517006605863571, 0.0015454361079415928, 0.5520521601041158, 0.8976958592732748]",0.9379284282525381
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.6022657404343287, 0.6434657176335653, 0.581667727480332, 0.5523575531939665, 0.012782259257316278, 0.7575181573629379, 0.6229196439186732]",0.7575181573629379
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.622826154033343, 0.7218353450298309, 0.75773353377978, 0.966636727253596, 0.2536641820333898, 0.8287341396013895, 0.8809744020303091]",0.966636727253596
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.5542830576499304, 0.47860118250052136, 0.5009334882100424, 0.7789443333943685, 0.671339159210523, 0.589011679093043, 0.6210547933975855]",0.7789443333943685
fear,"When, for the first time I realized the meaning of death. ",fear,"[0.5025541136662165, 0.7407170534133911, 0.9208199977874756, 0.7927880783875784, 0.07168712483447355, 0.7699035356442133, 0.6144495954116186]",0.9208199977874756
anger,When a car is overtaking another and I am forced to drive off the road. ,guilt,"[0.8581892351309458, 0.6524921953678131, 0.8572330375512441, 0.9142892360687256, 0.07843036375318964, 0.6913420756657919, 0.7981961071491241]",0.9142892360687256
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.27889075440665084, 0.05486453790217638, 0.19635760659972826, 0.49825117488702136, 0.03971413602509225, 0.26791413500905037, 0.15090400725603104]",0.49825117488702136
disgust,When I found a bristle in the liver paste tube. ,guilt,"[0.6583203574021658, 0.6823832044998804, 0.6844660639762878, 0.8473377426465353, 0.5852015726268291, 0.5784092247486115, 0.6707820395628611]",0.8473377426465353
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",guilt,"[0.8546432554721832, 0.6793835709492365, 0.3720119670033455, 0.88758252064387, 0.0010447718450450338, 0.6888809005419413, 0.7849481304486593]",0.88758252064387
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.7139615217844645, 0.7048668811718622, 0.7296639482180277, 0.9392428894837698, 0.21199356205761433, 0.7686807711919149, 0.8354020218054453]",0.9392428894837698
joy,When I pass an examination which I did not think I did well. ,guilt,"[0.5833567455410957, 0.5766332869728407, 0.4794612204035123, 0.8222335278987885, 0.39135416969656944, 0.6437902227044106, 0.8011614779631296]",0.8222335278987885
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.7586396038532257, 0.6100072165330251, 0.8351041277249655, 0.8303273916244507, 0.006748616598391284, 0.7920311441024145, 0.7861534555753072]",0.8351041277249655
anger,When one is unjustly accused of something one has not done. ,anger,"[0.9706489443778992, 0.897849440574646, 0.8923889895280203, 0.6533295841266712, 0.05820519923387716, 0.8518929382165273, 0.9680077334245046]",0.9706489443778992
